z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.57707e+06,33735.4,246974,0,0,0,0,0,210320,23.7678,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03484e+07,30681.1,214728,-127810,0,3.03484e+07,0,0,158201,0,158177,0,0,0,0,0,0,0,0,0,3.8133e+07,38021.9,263543,-24213.2,0,6.9746e+07,0,0,12833.3,12833.3,0,0,0,0,3.26237e+07,32986.4,223259,83542.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.4168e+07,23720.3,207876,-134662,0,2.4168e+07,0,0,63426.6,0,63402.8,0,0,0,0,0,0,0,0,0,3.53496e+07,35676.7,252274,59292.4,0,6.05246e+07,0,0,0,0,0,0,0,0,3.87611e+07,39050.1,249812,122928,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.2075e+07,32270.2,223748,-118790,0,3.2075e+07,0,0,158512,0,158488,0,0,0,0,0,0,0,0,0,4.23536e+07,42318.9,272630,-15436.9,0,7.5765e+07,0,0,6761.34,6761.34,0,0,0,0,2.84301e+07,28685.9,207072,73426.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.7539e+07,27150.2,207971,-134567,0,2.7539e+07,0,0,97049.5,0,97025.7,0,0,0,0,0,0,0,0,0,2.86959e+07,29523.8,219179,-7425.1,0,5.73824e+07,0,0,72758.4,72758.4,0,0,0,0,4.16083e+07,42641.6,280385,80742.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.4463e+07,45444.7,292942,-49596.2,0,4.4463e+07,0,0,132056,36506.3,132032,36506.3,0,0,0,0,0,0,0,0,3.79586e+07,38118.9,238013,-23597.7,0,8.42742e+07,0,0,88980.6,52474.3,0,0,0,0,3.43081e+07,34308.6,216106,241.718,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.00472e+07,9506.44,171117,-171421,0,1.00472e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,2.29845e+07,23134.6,209672,80092.8,0,3.34503e+07,0,0,0,0,0,0,0,0,2.30962e+07,23245.6,216552,89668.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.26684e+07,33455.7,241265,-101273,0,3.26684e+07,0,0,167502,2015.83,167479,2015.83,0,0,0,0,0,0,0,0,3.30794e+07,32779.3,244916,-52141.4,0,6.7109e+07,0,0,36531,34515.2,0,0,0,0,3.64921e+07,37734.1,224518,61102.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.05949e+07,40562.5,269264,-73273.8,0,4.05949e+07,0,0,23.7678,72055.4,0,72055.4,0,0,0,0,0,0,0,0,2.80064e+07,28352.5,228053,98473.8,0,7.02928e+07,0,0,72055.4,0,0,0,0,0,2.8418e+07,28474.9,216694,17754.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.90073e+07,39116.5,233303,-109235,0,3.90073e+07,0,0,23.7678,144256,0,144256,0,0,0,0,0,0,0,0,4.14441e+07,41830.5,228147,98567.9,0,8.20767e+07,0,0,144256,0,0,0,0,0,3.38475e+07,33636.1,242153,-28986.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.07704e+07,41119.8,232280,-110258,0,4.07704e+07,0,0,171567,0,171543,0,0,0,0,0,0,0,0,0,3.56298e+07,35902.5,265023,-36098.7,0,7.80989e+07,0,0,88923.1,88923.1,0,0,0,0,2.56663e+07,25650.2,213449,-2357.62,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.56346e+07,35621.3,259419,-83119.2,0,3.56346e+07,0,0,66742.8,17450.4,66719.1,17450.4,0,0,0,0,0,0,0,0,2.34768e+07,23438.3,175988,-20310,0,6.05963e+07,0,0,34993.1,17542.6,0,0,0,0,3.21756e+07,32853,237175,75298,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.3986e+07,33787.8,227370,-115167,0,3.3986e+07,0,0,68849.4,0,68825.6,0,0,0,0,0,0,0,0,0,3.27153e+07,32700.6,193642,-4762.6,0,6.81173e+07,0,0,0,0,0,0,0,0,4.33961e+07,43810.3,268274,141390,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.16294e+07,35085.9,225875,-116663,0,3.16294e+07,0,0,354931,0,354907,0,0,0,0,0,0,0,0,0,4.03771e+07,35292.6,234553,-249932,0,7.33244e+07,0,0,18530.4,18530.4,0,0,0,0,4.11048e+07,42446.2,250230,104815,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.40555e+07,13815.5,207711,-134827,0,1.40555e+07,0,0,4808.29,113683,4784.52,113683,0,0,0,0,0,0,0,0,1.83722e+07,19012.9,220460,86096.7,0,3.30133e+07,0,0,113683,0,0,0,0,0,4.06745e+07,40358.2,221576,-18991,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.32512e+07,44937.7,254743,-87795,0,4.32512e+07,0,0,115696,123964,115673,123964,0,0,0,0,0,0,0,0,2.59449e+07,25651.8,217275,-27976.9,0,7.09983e+07,0,0,123964,0,0,0,0,0,2.16892e+07,21520.1,234833,-16015,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.79836e+07,37902.7,241179,-101359,0,3.79836e+07,0,0,23.7678,94880,0,94880,0,0,0,0,0,0,0,0,1.03477e+07,10797.7,185522,55943.6,0,4.99139e+07,0,0,94880,0,0,0,0,0,3.51239e+07,35188.1,246036,24272.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.86177e+07,27872.8,219935,-122603,0,2.86177e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,4.18532e+07,43285.8,253045,123467,0,7.16634e+07,0,0,27692,27692,0,0,0,0,3.69718e+07,37479.6,224215,69639.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.89289e+07,28021.3,200484,-142054,0,2.89289e+07,0,0,3709.37,0,3685.6,0,0,0,0,0,0,0,0,0,3.77976e+07,39037.9,250230,116965,0,6.79318e+07,0,0,79498.3,79498.3,0,0,0,0,2.80746e+07,28169.4,224304,17921.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.85882e+07,39659.2,247039,-95499.4,0,3.85882e+07,0,0,130775,59044,130752,59044,0,0,0,0,0,0,0,0,3.87819e+07,38330.7,226480,-33850.8,0,7.89779e+07,0,0,59044,0,0,0,0,0,4.50586e+07,45735.4,266854,80925.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.48148e+07,25207.5,192820,-149718,0,2.48148e+07,0,0,23.7678,223962,0,223962,0,0,0,0,0,0,0,0,2.0128e+07,20502.1,202857,73278.1,0,4.59767e+07,0,0,223962,0,0,0,0,0,2.5319e+07,24839.5,201331,-149515,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.65352e+07,26600.9,208100,-134438,0,2.65352e+07,0,0,149827,0,149804,0,0,0,0,0,0,0,0,0,3.5575e+07,35522.4,245090,-34292,0,6.32159e+07,0,0,29116.9,29116.9,0,0,0,0,4.00421e+07,40964.9,235821,79819.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.09742e+07,21039.1,200926,-141612,0,2.09742e+07,0,0,150924,0,150901,0,0,0,0,0,0,0,0,0,1.65426e+07,15762.5,196398,-84081.6,0,3.83907e+07,0,0,51154.6,51154.6,0,0,0,0,1.14567e+07,11422.1,176861,-1177.83,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.61833e+07,36657.9,253955,-88583,0,3.61833e+07,0,0,108361,40951.7,108337,40951.7,0,0,0,0,0,0,0,0,4.78745e+07,48626.9,249163,11246.9,0,8.55654e+07,0,0,96493.7,55542,0,0,0,0,3.4874e+07,34910.2,228020,4642.51,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.8542e+07,38363.3,275834,-66704.1,0,3.8542e+07,0,0,45911.8,0,45888,0,0,0,0,0,0,0,0,0,3.3435e+07,33677.5,254204,78736.9,0,7.35829e+07,0,0,0,0,0,0,0,0,2.40937e+07,24353.2,195841,68957.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.6052e+07,36209.3,234470,-108068,0,3.6052e+07,0,0,130469,0,130445,0,0,0,0,0,0,0,0,0,4.49977e+07,46130.4,257593,-2430.86,0,8.25519e+07,0,0,127805,127805,0,0,0,0,4.61787e+07,46828.4,286653,31964.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.90699e+07,39974.8,247716,-94822.1,0,3.90699e+07,0,0,84676.5,91980.9,84652.7,91980.9,0,0,0,0,0,0,0,0,3.75284e+07,38255.6,238219,23987.5,0,7.82262e+07,0,0,217013,125032,0,0,0,0,3.57201e+07,35085.9,262592,-81305.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.73821e+07,26929.7,199116,-143422,0,2.73821e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,4.15916e+07,41862.1,234415,104836,0,7.01146e+07,0,0,0,0,0,0,0,0,3.02657e+07,31236.8,269088,142204,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.20821e+07,31562.9,238034,-104504,0,3.20821e+07,0,0,12262.8,0,12239,0,0,0,0,0,0,0,0,0,3.90408e+07,39327.7,252990,111172,0,7.24597e+07,0,0,0,0,0,0,0,0,4.07826e+07,41230.3,229993,103109,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.47333e+07,33724.9,200586,-141952,0,3.47333e+07,0,0,23.7678,19850.7,0,19850.7,0,0,0,0,0,0,0,0,3.57862e+07,36117.1,199872,70293.2,0,7.19668e+07,0,0,19850.7,0,0,0,0,0,5.19098e+07,52348.2,255000,108265,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.41531e+07,34157.4,244608,-97930.3,0,3.41531e+07,0,0,23.7678,107813,0,107813,0,0,0,0,0,0,0,0,4.7535e+07,48557.9,289201,159622,0,8.31112e+07,0,0,107813,0,0,0,0,0,2.5429e+07,25210.2,206653,-28044,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.80503e+07,28010.4,201027,-141511,0,2.80503e+07,0,0,142539,0,142515,0,0,0,0,0,0,0,0,0,2.81145e+07,27949.1,211276,-60818.4,0,5.73336e+07,0,0,45009.2,45009.2,0,0,0,0,2.89282e+07,29367.2,213462,41569.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.62071e+07,36215.2,232785,-109753,0,3.62071e+07,0,0,114275,0,114251,0,0,0,0,0,0,0,0,0,3.07445e+07,30655.5,221110,-22719.9,0,6.84603e+07,0,0,0,0,0,0,0,0,3.55642e+07,35924.4,215839,88954.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.3645e+07,43149.6,250697,-91840.9,0,4.3645e+07,0,0,23.7678,33144,0,33144,0,0,0,0,0,0,0,0,3.14632e+07,32365,232938,103359,0,7.69267e+07,0,0,33144,0,0,0,0,0,2.36365e+07,24040.2,201573,41545,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.25633e+07,32133.8,249470,-93067.6,0,3.25633e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,3.30173e+07,33350.7,237780,108201,0,6.69374e+07,0,0,0,0,0,0,0,0,3.58203e+07,36105.9,234821,107937,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.98135e+07,59725.5,320660,-21878.3,0,5.98135e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,4.82637e+07,48564.4,290092,160514,0,1.10569e+08,0,0,0,0,0,0,0,0,3.53716e+07,35561.7,240953,114069,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.53671e+07,25206,213639,-128899,0,2.53671e+07,0,0,112363,0,112339,0,0,0,0,0,0,0,0,0,3.10327e+07,30996.4,232662,-9256.56,0,5.74567e+07,0,0,0,0,0,0,0,0,4.32244e+07,44279.9,271623,144739,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.71782e+07,27481.5,242663,-99874.8,0,2.71782e+07,0,0,167522,0,167498,0,0,0,0,0,0,0,0,0,1.92459e+07,18815.8,202340,-94736.4,0,4.75565e+07,0,0,38217.9,38217.9,0,0,0,0,1.86441e+07,18893.5,204057,38955.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.1733e+07,41607,237127,-105411,0,4.1733e+07,0,0,84106.1,0,84082.3,0,0,0,0,0,0,0,0,0,3.62931e+07,36795.6,229629,15967.6,0,7.9765e+07,0,0,77794.2,77794.2,0,0,0,0,3.89789e+07,39046.2,230108,25430,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.38071e+07,23357.5,226265,-116272,0,2.38071e+07,0,0,23.7678,56749.6,0,56749.6,0,0,0,0,0,0,0,0,2.01902e+07,21797.7,202923,73344.4,0,4.49892e+07,0,0,56749.6,0,0,0,0,0,2.48088e+07,25030.6,199036,15402.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.31112e+07,22878.7,226984,-115554,0,2.31112e+07,0,0,94413.3,0,94389.5,0,0,0,0,0,0,0,0,0,1.18564e+07,11286.5,169619,-54349,0,3.59306e+07,0,0,5719.94,5719.94,0,0,0,0,3.37825e+07,34294.8,217876,85271.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.24116e+07,43860.2,266331,-76206.8,0,4.24116e+07,0,0,219884,0,219860,0,0,0,0,0,0,0,0,0,3.3342e+07,31975.1,232442,-116997,0,7.75207e+07,0,0,0,0,0,0,0,0,3.95248e+07,41026.9,244258,117374,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.19703e+07,41539.8,258330,-84207.5,0,4.19703e+07,0,0,23.7678,248.226,0,248.226,0,0,0,0,0,0,0,0,3.35917e+07,34723.2,251892,122314,0,7.73107e+07,0,0,30874.5,30626.2,0,0,0,0,3.04009e+07,30757.8,210013,52254.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.83133e+07,17518.6,192153,-150385,0,1.83133e+07,0,0,43813,3547.33,43789.2,3547.33,0,0,0,0,0,0,0,0,2.29426e+07,24263,212123,38754.9,0,4.20189e+07,0,0,95406.9,91859.6,0,0,0,0,4.32163e+07,43550.6,268131,45839.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.73012e+07,47188,263675,-78862.7,0,4.73012e+07,0,0,58784.7,0,58760.9,0,0,0,0,0,0,0,0,0,2.62842e+07,26365.5,196530,8190.8,0,7.55563e+07,0,0,10943.1,10943.1,0,0,0,0,3.06636e+07,31117.2,235490,97662.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21832e+07,31833.9,255286,-87252.1,0,3.21832e+07,0,0,25808.9,0,25785.1,0,0,0,0,0,0,0,0,0,2.01416e+07,20337.7,186772,31408.4,0,5.36658e+07,0,0,25268.3,25268.3,0,0,0,0,3.6727e+07,36915.1,223241,71088.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.74312e+07,37062.7,209390,-133148,0,3.74312e+07,0,0,83682.8,0,83659,0,0,0,0,0,0,0,0,0,4.05845e+07,40982.2,258822,45584.4,0,7.95753e+07,0,0,0,0,0,0,0,0,2.55407e+07,25888.9,201861,74977.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.39927e+07,43602.1,218704,-123834,0,4.39927e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,5.45248e+07,54924.8,284607,155029,0,1.00351e+08,0,0,0,0,0,0,0,0,4.93108e+07,49577.3,240215,113331,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.99466e+07,39371,238375,-104163,0,3.99466e+07,0,0,23.7678,17351.6,0,17351.6,0,0,0,0,0,0,0,0,4.16546e+07,42721.4,249820,120241,0,8.32657e+07,0,0,65132.9,47781.3,0,0,0,0,3.30003e+07,33198.4,224982,32965.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.70499e+07,26440,243448,-99089.9,0,2.70499e+07,0,0,23.7678,26200.7,0,26200.7,0,0,0,0,0,0,0,0,9.30156e+06,9734.54,152413,22834.6,0,3.74785e+07,0,0,41020.6,14819.9,0,0,0,0,2.28545e+07,23319.2,204213,36308.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.50306e+07,34667.1,229454,-113084,0,3.50306e+07,0,0,23.7678,57288.4,0,57288.4,0,0,0,0,0,0,0,0,3.15636e+07,32010.8,197840,68261.2,0,6.80539e+07,0,0,70509.6,13221.2,0,0,0,0,3.03749e+07,30442,220329,22935.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.43315e+07,34156.7,233714,-108824,0,3.43315e+07,0,0,68185.5,108.626,68161.7,108.626,0,0,0,0,0,0,0,0,3.88911e+07,39465.1,222503,24762,0,7.46532e+07,0,0,127312,127204,0,0,0,0,3.40138e+07,33912.1,219486,-34709.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.98343e+07,39703.5,239951,-102587,0,3.98343e+07,0,0,87031.3,0,87007.6,0,0,0,0,0,0,0,0,0,2.46518e+07,24837.5,209148,-7438.19,0,6.61459e+07,0,0,35412.3,35412.3,0,0,0,0,2.13943e+07,21636.5,211147,48850.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.54413e+07,24825.6,210036,-132502,0,2.54413e+07,0,0,23.7678,48554.9,0,48554.9,0,0,0,0,0,0,0,0,1.60122e+07,16608.7,149428,19848.8,0,4.25135e+07,0,0,150282,101727,0,0,0,0,3.70295e+07,36894.9,248190,-28975.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.22971e+07,31597.7,243417,-99120.7,0,3.22971e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,2.98999e+07,31387.1,229965,100386,0,6.35427e+07,0,0,104084,104084,0,0,0,0,4.43551e+07,44670.8,280274,49306.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.88138e+07,40231.7,272687,-69851.2,0,3.88138e+07,0,0,210486,0,210462,0,0,0,0,0,0,0,0,0,3.63749e+07,35210.1,237801,-102240,0,7.68059e+07,0,0,29926.2,29926.2,0,0,0,0,4.03295e+07,41621.2,246498,89687.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07665e+07,30433.4,213593,-128945,0,3.07665e+07,0,0,29684.3,60884.6,29660.5,60884.6,0,0,0,0,0,0,0,0,3.89428e+07,39728.2,261319,102079,0,7.09912e+07,0,0,64463.3,3578.73,0,0,0,0,2.93092e+07,29661.8,227636,36288.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.06648e+07,40884.2,272873,-69664.7,0,4.06648e+07,0,0,96880.7,0,96857,0,0,0,0,0,0,0,0,0,4.18812e+07,41995.5,255596,29160.4,0,8.42404e+07,0,0,0,0,0,0,0,0,3.06931e+07,31009.6,217707,90822.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.82306e+07,37824.2,241441,-101097,0,3.82306e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,3.39855e+07,35362.9,236798,107220,0,7.38091e+07,0,0,149297,149297,0,0,0,0,4.5067e+07,45020.8,266234,-9946.39,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.53266e+07,35062.7,229256,-113282,0,3.53266e+07,0,0,64221,0,64197.2,0,0,0,0,0,0,0,0,0,3.46688e+07,35292.2,265225,71449.3,0,7.14673e+07,0,0,0,0,0,0,0,0,3.49107e+07,35919.7,187465,60580.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.91069e+07,38847.9,255722,-86815.6,0,3.91069e+07,0,0,23.7678,39019,0,39019,0,0,0,0,0,0,0,0,3.06107e+07,30955.1,217427,87847.9,0,7.13471e+07,0,0,39019,0,0,0,0,0,3.04214e+07,30555.3,231754,65850.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.28155e+07,35231.9,272192,-70345.6,0,3.28155e+07,0,0,230829,0,230806,0,0,0,0,0,0,0,0,0,3.53006e+07,32498.2,231669,-128715,0,6.94834e+07,0,0,876.807,876.807,0,0,0,0,2.00036e+07,22374.4,208537,80776.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.86464e+07,28845.7,194953,-147584,0,2.86464e+07,0,0,73308.2,104430,73284.4,104430,0,0,0,0,0,0,0,0,4.69069e+07,47090.9,241948,39084.7,0,7.6747e+07,0,0,104430,0,0,0,0,0,5.05662e+07,50806.8,273988,42674.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.13961e+07,51231.1,289972,-52565.6,0,5.13961e+07,0,0,23.7678,268.76,0,268.76,0,0,0,0,0,0,0,0,3.89746e+07,39254.2,220342,90763.1,0,9.25122e+07,0,0,268.76,0,0,0,0,0,3.79809e+07,38364.7,272210,145057,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.45759e+07,24492,205033,-137505,0,2.45759e+07,0,0,23.7678,142586,0,142586,0,0,0,0,0,0,0,0,3.90465e+07,39538,212197,82618.7,0,6.46464e+07,0,0,142586,0,0,0,0,0,4.20602e+07,41890,230262,-39208.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23865e+07,32970.8,233800,-108738,0,3.23865e+07,0,0,168824,0,168800,0,0,0,0,0,0,0,0,0,2.14289e+07,21051.3,192855,-105524,0,5.51649e+07,0,0,56886.6,56886.6,0,0,0,0,3.46989e+07,35040,248249,64478.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.95647e+07,29190.2,223815,-118723,0,2.95647e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,2.29907e+07,23172.7,200115,70535.9,0,5.37872e+07,0,0,0,0,0,0,0,0,3.0585e+07,30897.9,216691,89806.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.93632e+07,39675.5,246579,-95958.5,0,3.93632e+07,0,0,136114,0,136090,0,0,0,0,0,0,0,0,0,4.81705e+07,48587.6,270282,4613.45,0,8.91739e+07,0,0,36066.5,36066.5,0,0,0,0,4.20973e+07,42639.1,242280,79329.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.15016e+07,41342.6,221524,-121014,0,4.15016e+07,0,0,102103,0,102079,0,0,0,0,0,0,0,0,0,4.20204e+07,42016.9,230914,-743.791,0,8.52513e+07,0,0,0,0,0,0,0,0,4.1302e+07,41792.2,257107,130223,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.46027e+07,33812.1,221924,-120614,0,3.46027e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,1.45932e+07,15623.6,168041,38462.2,0,5.06376e+07,0,0,128577,128577,0,0,0,0,3.09618e+07,30631,200387,-55074.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39018e+07,34036.3,246546,-95991.6,0,3.39018e+07,0,0,113220,0,113196,0,0,0,0,0,0,0,0,0,3.24247e+07,33116.4,216705,-26070.1,0,6.77391e+07,0,0,124947,124947,0,0,0,0,2.58314e+07,25565.6,210313,-41518,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.24136e+07,22316,210082,-132455,0,2.24136e+07,0,0,23.7678,132644,0,132644,0,0,0,0,0,0,0,0,2.56221e+07,25976.9,189216,59637.5,0,4.89696e+07,0,0,132644,0,0,0,0,0,3.36961e+07,33425.4,229437,-30090.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.02531e+07,29643,190778,-151760,0,3.02531e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,3.50743e+07,35802.8,224094,94514.8,0,6.6588e+07,0,0,28642.8,28642.8,0,0,0,0,2.88491e+07,29278.1,218350,62823.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.68311e+07,28709.7,235285,-107253,0,2.68311e+07,0,0,234052,0,234029,0,0,0,0,0,0,0,0,0,3.21013e+07,30689.2,242472,-121135,0,6.00504e+07,0,0,33609.7,33609.7,0,0,0,0,2.82768e+07,29529.2,235684,75190.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.36861e+07,33275.9,229733,-112805,0,3.36861e+07,0,0,11202.7,0,11178.9,0,0,0,0,0,0,0,0,0,3.91155e+07,39289.4,233620,92862.2,0,7.42051e+07,0,0,0,0,0,0,0,0,4.19876e+07,42162.6,278567,151683,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39149e+07,33625.8,220215,-122323,0,3.39149e+07,0,0,23.7678,91328.3,0,91328.3,0,0,0,0,0,0,0,0,2.98587e+07,30560.7,210034,80455.4,0,6.51868e+07,0,0,91328.3,0,0,0,0,0,2.21922e+07,21986.4,191833,-26379.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.24195e+07,31902.7,213518,-129020,0,3.24195e+07,0,0,23.7678,507.782,0,507.782,0,0,0,0,0,0,0,0,2.33923e+07,24078.8,174127,44548.5,0,5.71626e+07,0,0,83432.8,82925,0,0,0,0,5.08978e+07,51100.3,264120,53803.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.39988e+07,45031.2,256676,-85862,0,4.39988e+07,0,0,187963,0,187939,0,0,0,0,0,0,0,0,0,3.03778e+07,27900.6,204492,-113025,0,7.62098e+07,0,0,0,0,0,0,0,0,3.01227e+07,31294.3,208233,81348.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12218e+07,30755.7,211142,-131396,0,3.12218e+07,0,0,23.7678,70423.3,0,70423.3,0,0,0,0,0,0,0,0,4.61377e+07,46558,249147,119569,0,7.86604e+07,0,0,70423.3,0,0,0,0,0,3.94343e+07,39504.8,223934,26626.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.97088e+07,41759.2,247142,-95395.5,0,3.97088e+07,0,0,231974,0,231950,0,0,0,0,0,0,0,0,0,3.66623e+07,34632.9,220014,-141515,0,7.80257e+07,0,0,51039.1,51039.1,0,0,0,0,3.54504e+07,35891.1,219662,41739.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.65532e+07,36043.3,243063,-99475.3,0,3.65532e+07,0,0,23.7678,0,0,0,0,0,0,0,0,0,0,0,2.56571e+07,25886.5,218464,88885.5,0,6.37334e+07,0,0,0,0,0,0,0,0,2.86184e+07,28799.4,195300,68416.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.30438e+07,43528.4,251184,-91354.4,0,4.30438e+07,0,0,140048,0,140024,0,0,0,0,0,0,0,0,0,2.81844e+07,28479.7,229283,-40319.8,0,7.30217e+07,0,0,68590.5,68590.5,0,0,0,0,3.17427e+07,32097.3,262524,67049.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21197e+07,31514.5,200210,-142328,0,3.21197e+07,0,0,44105.3,0,44081.5,0,0,0,0,0,0,0,0,0,3.06551e+07,31346.5,237242,63581.6,0,6.41131e+07,0,0,37722.1,37722.1,0,0,0,0,3.19827e+07,32162.7,220723,56116.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.89766e+07,29338.9,259819,-82719.3,0,2.89766e+07,0,0,119742,0,119718,0,0,0,0,0,0,0,0,0,3.05748e+07,30752.3,211395,-37902.2,0,6.07587e+07,0,0,72605,72605,0,0,0,0,3.45335e+07,34625.4,225878,26389,0,0,
