z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-183646,33735.4,246974,0,0,0,0,0,24494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42238e+07,35606.3,243232,86519.9,0,3.42238e+07,0,0,0,9409.2,0,9409.2,0,0,0,0,0,0,0,0,1.94554e+07,23140.3,216184,86629,0,5.51052e+07,0,0,113466,104057,0,0,0,0,2.27187e+07,22576,230121,-10228.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.88879e+07,19104.1,189101,32388.9,0,1.88879e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47181e+07,24833.5,184729,55173.5,0,4.43929e+07,0,0,0,0,0,0,0,0,2.30633e+07,23610.8,225571,98686.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.64274e+07,26533.2,174469,17757.2,0,2.64274e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82401e+07,39000,268896,139341,0,6.57687e+07,0,0,19603.5,19603.5,0,0,0,0,3.28394e+07,33299.7,237818,91330.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.2928e+07,43447.5,245867,89154.7,0,4.2928e+07,0,0,28225.1,0,28225.1,0,0,0,0,0,0,0,0,0,4.2786e+07,43209,245820,88040.2,0,8.75026e+07,0,0,0,0,0,0,0,0,4.89962e+07,49455.5,238340,111456,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.69006e+07,48736,301716,145004,0,4.69006e+07,0,0,78443.4,0,78443.4,0,0,0,0,0,0,0,0,0,3.4832e+07,34803.8,204696,-3302.94,0,8.36868e+07,0,0,0,0,0,0,0,0,2.7777e+07,28663,223533,96648.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.18961e+07,22020.1,184422,27709.9,0,2.18961e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51548e+07,46217.4,269620,140065,0,6.79633e+07,0,0,0,0,0,0,0,0,3.64707e+07,37117.9,243522,116638,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.62694e+07,26672,208898,52186.2,0,2.62694e+07,0,0,1868.96,0,1868.96,0,0,0,0,0,0,0,0,0,1.84056e+07,18814.9,185385,53961.3,0,4.57695e+07,0,0,0,0,0,0,0,0,2.37574e+07,24100.6,194979,68094.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.8136e+07,28729.6,236318,79606.1,0,2.8136e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56414e+07,36168.2,226877,97322.2,0,6.49497e+07,0,0,0,0,0,0,0,0,3.3048e+07,33435.6,220924,94039.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07296e+07,31311.1,243799,87087.5,0,3.07296e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23787e+07,43255.5,274213,144658,0,7.43887e+07,0,0,0,0,0,0,0,0,4.41406e+07,45099.8,269634,142750,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.29292e+07,23052.7,180243,23530.8,0,2.29292e+07,0,0,0,1.16415e-10,0,1.16415e-10,0,0,0,0,0,0,0,0,4.66215e+07,47303.4,258966,129411,0,7.05061e+07,0,0,60088.8,60088.8,0,0,0,0,3.78168e+07,37925.2,220041,33068.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.33738e+07,24096.4,232871,76159.1,0,2.33738e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33305e+07,13671.2,169423,39867.7,0,3.76782e+07,0,0,0,0,0,0,0,0,4.56717e+07,47036,275702,148818,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.32185e+07,23427.5,217675,60962.8,0,2.32185e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83545e+07,29184.7,234007,104452,0,5.25405e+07,0,0,129754,129754,0,0,0,0,2.5993e+07,25755.7,209543,-47094.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.31996e+07,23851.3,225399,68687.3,0,2.31996e+07,0,0,0,2.15723e-08,0,2.15723e-08,0,0,0,0,0,0,0,0,2.37048e+07,23888.1,156620,27065.2,0,4.7871e+07,0,0,2.15723e-08,0,0,0,0,0,3.79812e+07,38763.1,232338,105454,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.87535e+07,39345.6,245394,88682.2,0,3.87535e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45825e+07,25044.5,195519,65963.6,0,6.49507e+07,0,0,91865.6,91865.6,0,0,0,0,3.51998e+07,35387.3,249471,30721.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.35279e+07,24538.7,225359,68647.2,0,2.35279e+07,0,0,22948.5,0,22948.5,0,0,0,0,0,0,0,0,0,3.16933e+07,32453.1,230500,77996.9,0,5.62015e+07,0,0,0,0,0,0,0,0,2.2988e+07,23806.9,216212,89327.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.27691e+07,23211.7,205558,48846.5,0,2.27691e+07,0,0,0,4480.66,0,4480.66,0,0,0,0,0,0,0,0,2.52919e+07,25861.3,223499,93943.7,0,4.90097e+07,0,0,4480.66,0,0,0,0,0,3.72216e+07,37941.3,209872,78507.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06833e+07,31092.7,225429,68717.1,0,3.06833e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44e+07,34926.1,222483,92927.6,0,6.63618e+07,0,0,53552.1,53552.1,0,0,0,0,4.04432e+07,40684.7,264915,84478.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.68241e+07,27002,208618,51905.6,0,2.68241e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84409e+07,18782.3,127909,-1645.92,0,4.63827e+07,0,0,120071,120071,0,0,0,0,3.23905e+07,32300.1,225018,-21937,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.29582e+07,23541.9,196890,40178.5,0,2.29582e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29556e+07,34197.2,234531,104976,0,5.68704e+07,0,0,4551.93,4551.93,0,0,0,0,3.51004e+07,36213.2,252819,121383,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.8564e+07,30174.8,251555,94843.3,0,2.8564e+07,0,0,26341.9,26720,26341.9,26720,0,0,0,0,0,0,0,0,3.00935e+07,30625.9,234482,78585.4,0,5.98477e+07,0,0,26720,0,0,0,0,0,3.73598e+07,37925,237713,84109,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.76897e+07,28297.3,229428,72715.9,0,2.76897e+07,0,0,0,0.0436036,0,0.0436036,0,0,0,0,0,0,0,0,2.50933e+07,25521.4,208648,79092.6,0,5.39367e+07,0,0,0.0436036,0,0,0,0,0,7.66416e+06,8270.28,185529,58644.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.03807e+07,41490.9,239815,83103.5,0,4.03807e+07,0,0,22018.8,13281.6,22018.8,13281.6,0,0,0,0,0,0,0,0,4.40986e+07,44745.9,227318,75744.3,0,8.61618e+07,0,0,13281.6,0,0,0,0,0,3.70824e+07,38082.1,261833,121667,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.83348e+07,28565.6,191274,34562.4,0,2.83348e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49519e+07,35862.7,249009,119454,0,6.44674e+07,0,0,136905,136905,0,0,0,0,3.37515e+07,33522.9,213734,-50054.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.81608e+07,28900.7,182698,25986.4,0,2.81608e+07,0,0,0,44146.5,0,44146.5,0,0,0,0,0,0,0,0,4.70463e+07,47637.1,269700,140145,0,7.63805e+07,0,0,44146.5,0,0,0,0,0,4.65283e+07,46821.1,260372,89341,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.4032e+07,45081,256466,99753.6,0,4.4032e+07,0,0,26404.3,0,26404.3,0,0,0,0,0,0,0,0,0,2.67816e+07,28226.7,214719,58759.3,0,7.26482e+07,0,0,46620.7,46620.7,0,0,0,0,1.49476e+07,15335,195789,22284.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.58537e+07,37132.4,230762,74050,0,3.58537e+07,0,0,0,15104.9,0,15104.9,0,0,0,0,0,0,0,0,4.27725e+07,44008.5,256439,126884,0,8.01202e+07,0,0,15104.9,0,0,0,0,0,4.21703e+07,42934,234939,92950.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.35317e+07,23740,191670,34958.1,0,2.35317e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52369e+07,25791.1,211361,81805.5,0,4.97491e+07,0,0,0,0,0,0,0,0,3.84265e+07,38770.1,247070,120186,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.17423e+07,43058.7,260866,104155,0,4.17423e+07,0,0,55487.5,0,55487.5,0,0,0,0,0,0,0,0,0,3.82366e+07,38458.1,217732,32689.6,0,8.17182e+07,0,0,0,0,0,0,0,0,4.72704e+07,47886.3,249089,122205,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06458e+07,30881.5,225480,68768.3,0,3.06458e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24983e+07,43515.5,271283,141728,0,7.4421e+07,0,0,144131,144131,0,0,0,0,2.40743e+07,23809.3,190155,-80860.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.93314e+07,30134.5,229683,72970.7,0,2.93314e+07,0,0,36334,0,36334,0,0,0,0,0,0,0,0,0,2.61609e+07,26125.7,161248,-4641.29,0,5.67145e+07,0,0,0,0,0,0,0,0,3.60811e+07,36442.8,224802,97918.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.51759e+07,36870,255533,98820.6,0,3.51759e+07,0,0,55344.2,0,55344.2,0,0,0,0,0,0,0,0,0,3.52141e+07,38337.3,192056,7157.24,0,7.18557e+07,0,0,158435,158435,0,0,0,0,4.98614e+07,49707.7,268559,-16759.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.69669e+07,17224,196325,39612.9,0,1.69669e+07,0,0,0,10448,0,10448,0,0,0,0,0,0,0,0,2.84236e+07,28929.3,222978,93423.4,0,4.60975e+07,0,0,10448,0,0,0,0,0,2.05849e+07,20619.6,155173,17841.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.87351e+07,29153.2,219333,62621.3,0,2.87351e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46142e+07,15121.7,213272,83716.7,0,4.45466e+07,0,0,0,0,0,0,0,0,9.93395e+06,10300.4,192933,66048.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09502e+07,31256.2,245992,89280,0,3.09502e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46108e+07,24788.5,214506,84951.1,0,5.68506e+07,0,0,0,0,0,0,0,0,1.30161e+07,13355.5,194221,67336.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.76092e+07,29180,244171,87458.6,0,2.76092e+07,0,0,0,59663.5,0,59663.5,0,0,0,0,0,0,0,0,3.58327e+07,37008.8,250298,120743,0,6.45923e+07,0,0,59663.5,0,0,0,0,0,3.86608e+07,39171,262475,75927.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.8962e+07,29432,223779,67067.3,0,2.8962e+07,0,0,23622.3,0.51451,23622.3,0.51451,0,0,0,0,0,0,0,0,3.86557e+07,39434.9,263370,110192,0,6.88244e+07,0,0,158280,158279,0,0,0,0,3.60448e+07,35973.8,248730,-36434.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.11328e+07,41396.5,233626,76913.9,0,4.11328e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1488e+07,21853.6,205640,76084.9,0,6.43347e+07,0,0,0,0,0,0,0,0,2.811e+07,28250.7,199166,72281.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.49439e+07,36107.9,236838,80126.5,0,3.49439e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85527e+07,32965.5,229934,100379,0,6.49526e+07,0,0,128516,128516,0,0,0,0,2.96355e+07,28973.4,229768,-25632.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.03212e+07,20411.1,176781,20069,0,2.03212e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48978e+07,25298.6,212963,83407.5,0,4.60658e+07,0,0,0,0,0,0,0,0,1.13119e+07,11571.4,173645,46760.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.47917e+07,25472,203542,46829.9,0,2.47917e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97038e+07,30336,203536,73981.3,0,5.55285e+07,0,0,0,0,0,0,0,0,3.03174e+07,31027.2,243176,116292,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.29743e+07,33411.7,240051,83339.2,0,3.29743e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3726e+07,24287.5,208777,79222.4,0,5.80743e+07,0,0,39337.2,39337.2,0,0,0,0,2.51651e+07,25184.1,170366,4145.01,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.65074e+07,37151.8,224623,67911,0,3.65074e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46964e+07,46060,269548,139993,0,8.2725e+07,0,0,0,0,0,0,0,0,3.15376e+07,32813.4,218306,91421.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.32007e+07,34630.6,242565,85853.1,0,3.32007e+07,0,0,0,13708.8,0,13708.8,0,0,0,0,0,0,0,0,3.01286e+07,34420.3,243845,114290,0,6.47127e+07,0,0,120838,107129,0,0,0,0,3.79979e+07,37286.9,220194,-27527.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.11914e+07,21363.1,189419,32707.4,0,2.11914e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23836e+07,33025.7,263177,133622,0,5.4458e+07,0,0,0,0,0,0,0,0,3.31205e+07,33385.7,236180,109296,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.94235e+07,20043.2,194030,37317.9,0,1.94235e+07,0,0,48105.6,0,48105.6,0,0,0,0,0,0,0,0,0,3.3777e+07,34367.6,229596,51935.5,0,5.40097e+07,0,0,151841,151841,0,0,0,0,4.00646e+07,39951.7,256317,-22408.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.74649e+07,27941,236608,79896.2,0,2.74649e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54947e+07,26270.7,231840,102285,0,5.4104e+07,0,0,0,0,0,0,0,0,1.69407e+07,17790.5,219582,92697.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.91662e+07,30015.2,213550,56837.9,0,2.91662e+07,0,0,0,21019.2,0,21019.2,0,0,0,0,0,0,0,0,2.70614e+07,28706.6,222628,93072.9,0,5.74428e+07,0,0,47484.7,26465.4,0,0,0,0,3.19925e+07,32945.4,229174,54804.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.38455e+07,24668.4,228969,72257.1,0,2.38455e+07,0,0,14934.6,0,14934.6,0,0,0,0,0,0,0,0,0,2.4318e+07,25829,207115,62625.1,0,4.91571e+07,0,0,48211.8,48211.8,0,0,0,0,1.82383e+07,18314,181491,6395.35,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.62139e+07,47037.9,271950,115238,0,4.62139e+07,0,0,24018.3,0,24018.3,0,0,0,0,0,0,0,0,0,3.89029e+07,39797.4,233938,80364.3,0,8.70423e+07,0,0,138038,138038,0,0,0,0,4.26909e+07,42689.7,264446,-476.42,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.38723e+07,34160.4,214932,58220.5,0,3.38723e+07,0,0,6395.51,0,6395.51,0,0,0,0,0,0,0,0,0,4.17623e+07,42018.1,258177,122226,0,7.7046e+07,0,0,0,0,0,0,0,0,3.61166e+07,36340.4,241780,114896,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.25265e+07,32839.9,226709,69997.4,0,3.25265e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83781e+07,28869.9,224932,95376.7,0,6.22599e+07,0,0,146688,146688,0,0,0,0,2.7208e+07,27147.2,227158,-46413.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.01778e+07,40951,286475,129763,0,4.01778e+07,0,0,0,0.0868499,0,0.0868499,0,0,0,0,0,0,0,0,2.68706e+07,27397.9,199061,69505.8,0,6.87225e+07,0,0,0.0868499,0,0,0,0,0,2.85192e+07,29445.6,205101,78217.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.99664e+07,40505.3,250926,94214.4,0,3.99664e+07,0,0,0,69990.8,0,69990.8,0,0,0,0,0,0,0,0,3.7646e+07,37933.3,266855,137300,0,7.92777e+07,0,0,69990.8,0,0,0,0,0,3.34375e+07,33469.6,221353,24478,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.90571e+07,29341.3,220175,63462.6,0,2.90571e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21271e+07,22773.1,214713,85158.4,0,5.23949e+07,0,0,0,0,0,0,0,0,2.42509e+07,24970.4,214441,87556.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.96007e+07,29922.3,218001,61289.2,0,2.96007e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55214e+07,36215.9,232076,102521,0,6.63554e+07,0,0,0,0,0,0,0,0,3.49593e+07,35324,238165,111281,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.97432e+07,40737.4,263657,106945,0,3.97432e+07,0,0,0,12985.4,0,12985.4,0,0,0,0,0,0,0,0,4.33839e+07,45929.9,262236,132681,0,8.4783e+07,0,0,65393.1,52407.7,0,0,0,0,3.18137e+07,32276.7,210203,17925.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.78527e+07,29014.5,218684,61971.7,0,2.78527e+07,0,0,40338.2,23931.1,40338.2,23931.1,0,0,0,0,0,0,0,0,2.94697e+07,33081.1,241170,71277.1,0,5.84829e+07,0,0,142291,118360,0,0,0,0,2.74926e+07,26360.9,204088,-65087.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.64249e+07,27009.8,226705,69992.8,0,2.64249e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41488e+07,44830.3,241989,112434,0,7.16747e+07,0,0,0,0,0,0,0,0,3.45815e+07,35131.9,260420,133536,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.16206e+07,42328.3,262687,105975,0,4.16206e+07,0,0,0,4.2915e-08,0,4.2915e-08,0,0,0,0,0,0,0,0,3.76315e+07,38299.9,253052,123497,0,8.09863e+07,0,0,4.2915e-08,0,0,0,0,0,3.39946e+07,34644.4,233353,106469,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11742e+07,31848.7,203142,46430,0,3.11742e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37726e+07,37554.1,240425,192699,81829.4,6.62457e+07,0,0,0,0,0,0,0,0,4.58372e+07,46993.2,253472,44758.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.2253e+07,32613.6,237255,80543.2,0,3.2253e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60684e+06,8800.39,167583,38028.2,0,4.22037e+07,0,0,8136.2,8136.2,0,0,0,0,2.97972e+07,30012.1,223564,88543.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72379e+07,27491.4,205026,48314,0,2.72379e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45868e+07,35593.3,232888,103333,0,6.29595e+07,0,0,0,0,0,0,0,0,3.16503e+07,32144.8,235158,108274,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.75485e+07,28035.6,190236,33524.2,0,2.75485e+07,0,0,18194.3,0,18194.3,0,0,0,0,0,0,0,0,0,3.41639e+07,35428.8,219664,71914.6,0,6.28602e+07,0,0,41606.4,41606.4,0,0,0,0,4.30257e+07,45848,277760,109270,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00895e+07,30840.6,235878,79166.5,0,3.00895e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7891e+07,39122.4,255966,126411,0,6.92342e+07,0,0,0,0,0,0,0,0,2.85277e+07,31751.9,251713,124829,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.68745e+07,37949.8,246700,89988.3,0,3.68745e+07,0,0,23973.5,0,23973.5,0,0,0,0,0,0,0,0,0,3.08646e+07,31791.6,248700,95171.3,0,6.92755e+07,0,0,0,0,0,0,0,0,3.26628e+07,32962.3,186306,59422,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.68745e+07,37949.8,246700,89988.3,0,3.68745e+07,0,0,23973.5,0,23973.5,0,0,0,0,0,0,0,0,0,4.82833e+07,48964.4,257107,103578,0,8.66942e+07,0,0,39772.5,39772.5,0,0,0,0,2.82411e+07,28519.1,251509,84852.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.11491e+07,41644.5,261475,104763,0,4.11491e+07,0,0,6142.62,0,6142.62,0,0,0,0,0,0,0,0,0,2.89048e+07,29546.1,207096,71398.5,0,7.17684e+07,0,0,149522,149522,0,0,0,0,2.93365e+07,29255.1,234593,-41812.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.43275e+07,36065,214451,57739.1,0,3.43275e+07,0,0,102557,0,102557,0,0,0,0,0,0,0,0,0,2.73762e+07,29382.1,201834,-30278.6,0,6.3134e+07,0,0,137297,137297,0,0,0,0,4.29309e+07,42537.4,226115,-38066.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.22394e+07,12425.5,192176,35464.2,0,1.22394e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43902e+07,35073.6,218785,89229.6,0,4.71396e+07,0,0,75507.5,75507.5,0,0,0,0,4.43226e+07,44512.9,248572,46180.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06115e+07,31462.6,246412,89699.6,0,3.06115e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55095e+07,36353.4,201811,72256.2,0,6.73965e+07,0,0,2135.42,2135.42,0,0,0,0,3.32596e+07,33897.1,215002,85982.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.37898e+07,34083.8,242491,85778.7,0,3.37898e+07,0,0,0,0.0884609,0,0.0884609,0,0,0,0,0,0,0,0,3.53512e+07,36124.8,220082,90526.6,0,7.05489e+07,0,0,0.0884609,0,0,0,0,0,4.59763e+07,47084.8,291856,164972,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.37691e+07,23953.5,191852,35140.1,0,2.37691e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79602e+07,28400.8,210950,81394.9,0,5.27197e+07,0,0,0,0,0,0,0,0,4.20959e+07,43228.2,250391,123507,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.67206e+07,27885,236862,80150,0,2.67206e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96382e+07,40791.5,247959,118404,0,6.74722e+07,0,0,0,0,0,0,0,0,3.76563e+07,38519.9,231979,105095,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66221e+07,26876.7,199440,42727.9,0,2.66221e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26301e+07,43691.2,252147,122592,0,7.03615e+07,0,0,178525,178525,0,0,0,0,4.464e+07,44343.7,240545,-64863.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08546e+07,31284.8,221140,64428.4,0,3.08546e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68608e+07,27711,216843,87288.3,0,5.9001e+07,0,0,0,0,0,0,0,0,2.28219e+07,25018.9,253233,126349,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.33989e+07,44169.8,253701,96988.9,0,4.33989e+07,0,0,52616.4,4.27535e-08,52616.4,4.27535e-08,0,0,0,0,0,0,0,0,3.28158e+07,33184.9,243064,60892.6,0,7.8023e+07,0,0,4.27535e-08,0,0,0,0,0,2.06443e+07,20812.8,163776,36892.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.43962e+07,34805,248021,91308.5,0,3.43962e+07,0,0,0,-6.8624e-08,0,-6.8624e-08,0,0,0,0,0,0,0,0,3.1947e+07,34222.4,244057,114502,0,6.77764e+07,0,0,51274.9,51274.9,0,0,0,0,1.57453e+07,15634.4,171778,-6380.97,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.40807e+07,25104.8,211312,54600.3,0,2.40807e+07,0,0,55308,0,55308,0,0,0,0,0,0,0,0,0,2.8928e+07,29319.3,236442,51579.3,0,5.4012e+07,0,0,0,0,0,0,0,0,2.00205e+07,20386.5,215702,88818.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.87643e+07,29409.5,206192,49480,0,2.87643e+07,0,0,8761.44,0,8761.44,0,0,0,0,0,0,0,0,0,3.29743e+07,35502.1,254915,116598,0,6.29371e+07,0,0,69079.9,69079.9,0,0,0,0,3.13878e+07,31729.5,224814,28849.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.8796e+07,18802.2,158506,1793.98,0,1.8796e+07,0,0,0,16.3495,0,16.3495,0,0,0,0,0,0,0,0,2.26597e+07,23091.1,218455,88900.4,0,4.22388e+07,0,0,123100,123084,0,0,0,0,3.27431e+07,32663.5,225703,-24280.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.12892e+07,21816.1,214007,57294.7,0,2.12892e+07,0,0,13938.3,4.00469e-08,13938.3,4.00469e-08,0,0,0,0,0,0,0,0,4.19311e+07,42874.3,267831,124338,0,6.41073e+07,0,0,4.00469e-08,0,0,0,0,0,5.11975e+07,52067.2,256307,129423,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.88992e+07,39176.3,237556,80844.3,0,3.88992e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6664e+07,36849.5,218210,88654.7,0,7.7184e+07,0,0,0,0,0,0,0,0,4.2507e+07,42766.6,260148,133264,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.63435e+07,16527.1,210287,53574.9,0,1.63435e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62431e+07,16388,198763,69207.8,0,3.32676e+07,0,0,0,0,0,0,0,0,3.95266e+07,40380.3,280749,153865,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07296e+07,31311.1,243799,87087.5,0,3.07296e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7831e+07,28286.6,204726,75171.1,0,5.9841e+07,0,0,0,0,0,0,0,0,4.04241e+07,41422.4,223476,96592.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.65875e+07,47189.2,271378,114666,0,4.65875e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10493e+07,41979.7,240757,111202,0,8.95779e+07,0,0,151589,151589,0,0,0,0,4.56907e+07,45568.7,241244,-37229.2,0,0,
